BindingDB_Reactant_set_id,IC50_nM
216373,51.06
414942,52
414987,52
414906,52
352620,52
352517,52
50559432,52
352446,52
302580,52
352523,52
50665748,52
50905641,52
234561,52.6
414907,53
400880,53
352553,53
352353,53
294102,53
50848755,53
51073003,53
285721,53
50976243,53
50610996,53
216416,53.86
50371564,54
400647,54
352608,54
352612,54
352587,54
352322,54
294097,54
51073015,54
286801,54
234532,54.3
216475,54.48
234543,54.7
216550,54.84
399537,55
50848732,55
400802,55
352723,55
352460,55
352488,55
352378,55
285776,55
285472,55
285425,55
418573,55
50611007,55
234599,55.2
221711,55.49
234604,55.6
50371607,56
414904,56
352530,56
285738,56
50715363,56
50705203,0.3
351117,0.3
50496764,0.31
233790,0.3102
50705200,0.33
233760,0.3428
50705198,0.35
50705188,0.35
50705193,0.36
233819,0.3889
414992,0.4
50502942,0.4
216221,0.4
50705204,0.4
50705205,0.4
50665773,0.4
216372,0.41
216378,0.46
233856,0.4635
50705187,0.47
400761,0.5
401124,0.5
399539,0.5
51095853,0.5
50905645,0.5
51045309,0.5
50705182,0.5
50705192,0.5
50705199,0.5
216400,0.5
50705181,0.5
233858,0.5116
50199378,0.52
50705190,0.54
399697,0.55
216379,0.55
399699,0.55
399700,0.55
399701,0.55
399702,0.55
399703,0.55
399704,0.55
399705,0.55
399706,0.55
399707,0.55
399708,0.55
399709,0.55
